metacountry;metacountry_label;country;start_precision;start;end_precision;end;;;;
Metastate_Q1045;Сомали;Q862404;2;1.01.1884;2;1.01.1925;;;;
Metastate_Q1045;Сомали;Q319984;2;1.01.1889;2;1.01.1936;;;;
Metastate_Q1045;Сомали;Q1106424;2;1.01.1889;2;1.01.1920;;;;
Metastate_Q1045;Сомали;Q328478;2;1.01.1936;2;1.01.1941;;;;
Metastate_Q1045;Сомали;Q319984;2;1.01.1941;2;1.01.1949;;;;
Metastate_Q1045;Сомали;Q616221;2;1.01.1950;2;1.01.1960;;;;
Metastate_Q1045;Сомали;Q662653;2;1.01.1884;2;1.01.1960;;;;
Metastate_Q1045;Сомали;Q1106857;2;1.01.1960;2;1.01.1960;;;;
Metastate_Q1045;Сомали;Q7559152;2;1.01.1960;2;1.01.1969;;;;
Metastate_Q1045;Сомали;Q1477220;2;1.01.1969;2;1.01.1991;;;;
Metastate_Q1045;Сомали;Q1045;2;1.01.2012;;по наст. время;;;;
Metastate_Q258;Южно-Африканская Республика;Q4807130;2;1.01.1652;2;1.01.1795;;;;
Metastate_Q258;Южно-Африканская Республика;Q370736;2;1.01.1795;2;1.01.1910;;;;
Metastate_Q258;Южно-Африканская Республика;Q1301901;2;1.01.1843;2;1.01.1910;;;;
Metastate_Q258;Южно-Африканская Республика;Q550374;2;1.01.1852;2;1.01.1877;;;;
Metastate_Q258;Южно-Африканская Республика;Q550374;2;1.01.1881;2;1.01.1902;;;;
Metastate_Q258;Южно-Африканская Республика;Q550374;2;1.01.1914;2;1.01.1915;;;;
Metastate_Q258;Южно-Африканская Республика;Q1187978;2;1.01.1877;2;1.01.1881;;;;
Metastate_Q258;Южно-Африканская Республика;Q1187978;2;1.01.1902;2;1.01.1910;;;;
Metastate_Q258;Южно-Африканская Республика;Q218023;2;1.01.1854;2;1.01.1902;;;;
Metastate_Q258;Южно-Африканская Республика;Q1142179;2;1.01.1902;2;1.01.1910;;;;
Metastate_Q258;Южно-Африканская Республика;Q193619;2;1.01.1910;2;1.01.1961;;;;
Metastate_Q258;Южно-Африканская Республика;Q258;2;1.01.1961;;по наст. время;;;;
Metastate_Q958;Южный Судан;Q541455;2;1.01.1899;2;1.01.1956;;;;
Metastate_Q958;Южный Судан;Q3486796;2;1.01.1956;2;1.01.1969;;;;
Metastate_Q958;Южный Судан;Q5866728;2;1.01.1969;2;1.01.1985;;;;
Metastate_Q958;Южный Судан;Q1049;2;1.01.1985;2;1.01.2011;;;;
Metastate_Q958;Южный Судан;Q958;2;1.01.2011;;по наст. время;;;;
Metastate_Q1049;Судан;Q541455;2;1.01.1899;2;1.01.1956;;;;
Metastate_Q1049;Судан;Q3486796;2;1.01.1956;2;1.01.1969;;;;
Metastate_Q1049;Судан;Q5866728;2;1.01.1969;2;1.01.1985;;;;
Metastate_Q1049;Судан;Q1049;2;1.01.1985;;по наст. время;;;;
Metastate_Q924;Танзания;Q153963;2;1.01.1891;2;1.01.1919;;;;
Metastate_Q924;Танзания;Q158725;2;1.01.1922;2;1.01.1961;;;;
Metastate_Q924;Танзания;Q431731;2;1.01.1961;2;1.01.1964;;;;
Metastate_Q924;Танзания;Q157904;2;1.01.1856;2;1.01.1964;;;;
Metastate_Q924;Танзания;Q157535;2;1.01.1964;2;1.01.1964;;;;
Metastate_Q924;Танзания;Q924;2;1.01.1964;;по наст. время;;;;
Metastate_Q945;Того;Q161062;2;1.01.1884;2;1.01.1916;;;;
Metastate_Q945;Того;Q797527;2;1.01.1916;2;1.01.1956;;;;
Metastate_Q945;Того;Q797214;2;1.01.1916;2;1.01.1960;;;;
Metastate_Q945;Того;Q945;2;1.01.1960;;по наст. время;;;;
Metastate_Q948;Тунис;Q20018403;2;1.01.1574;2;1.01.1705;;;;
Metastate_Q948;Тунис;Q4899891;2;1.01.1705;2;1.01.1881;;;;
Metastate_Q948;Тунис;Q2017684;2;1.01.1881;2;1.01.1956;;;;
Metastate_Q948;Тунис;Q6412669;2;1.01.1956;2;1.01.1957;;;;
Metastate_Q948;Тунис;Q948;2;1.01.1957;;по наст. время;;;;
Metastate_Q1036;Уганда;Q1097943;2;1.01.1894;2;1.01.1962;;;;
Metastate_Q1036;Уганда;Q7877575;2;1.01.1962;2;1.01.1963;;;;
Metastate_Q1036;Уганда;Q1036;2;1.01.1963;;по наст. время;;;;
Metastate_Q953;Замбия;Q5155572;2;1.01.1890;2;1.01.1924;;;;
Metastate_Q953;Замбия;Q953903;2;1.01.1924;2;1.01.1953;;;;
Metastate_Q953;Замбия;Q953903;2;1.01.1963;2;1.01.1964;;;;
Metastate_Q953;Замбия;Q654342;2;1.01.1953;2;1.01.1963;;;;
Metastate_Q953;Замбия;Q953;2;1.01.1963;;по наст. время;;;;
Metastate_Q954;Зимбабве;Q5155572;2;1.01.1890;2;1.01.1923;;;;
Metastate_Q954;Зимбабве;Q750583;2;1.01.1923;2;1.01.1953;;;;
Metastate_Q954;Зимбабве;Q750583;2;1.01.1963;2;1.01.1965;;;;
Metastate_Q954;Зимбабве;Q750583;2;1.01.1979;2;1.01.1980;;;;
